CODE,NAME,REGION,BOUNDARYCHANGE,TYPE,SEATS,CON,LAB,LD,UKIP,GRN,OTH,TOTAL,Vacant_seats_23,Control_23
E07000146,King's Lynn and West Norfolk,East of England,N,District,ALL,21,11,3,0,2,18,55,0,NOC
E06000010,Kingston upon Hull ,Yorkshire and The Humber,N,Unitary,THIRD,0,25,32,0,0,0,57,0,LD
E08000034,Kirklees,Yorkshire and The Humber,N,Met,THIRD,18,39,8,0,3,1,69,0,LAB
E08000011,Knowsley,North West,N,Met,THIRD,0,31,3,0,7,4,45,0,LAB
E07000121,Lancaster,North West,Y,District,ALL,5,24,7,0,21,4,61,0,NOC
E08000035,Leeds,Yorkshire and The Humber,N,Met,THIRD,18,61,6,0,3,11,99,0,LAB
E06000016,Leicester,East Midlands,N,Unitary,ALL,17,31,3,0,3,0,54,0,LAB
E07000063,Lewes,South East,N,District,ALL,0,9,15,0,17,0,41,0,NOC
E07000194,Lichfield,West Midlands,N,District,ALL,23,17,7,0,0,0,47,0,NOC
E07000138,Lincoln,East Midlands,N,District,THIRD,9,20,4,0,0,0,33,0,LAB
E08000012,Liverpool,North West,Y,Met,ALL,0,61,15,0,3,6,85,0,LAB
E06000032,Luton,East of England,Y,Unitary,ALL,3,30,15,0,0,0,48,0,LAB
E07000110,Maidstone,South East,N,District,THIRD,24,6,12,0,3,10,55,0,NOC
E07000074,Maldon,East of England,N,District,ALL,10,1,6,0,0,14,31,0,NOC
E07000235,Malvern Hills,West Midlands,Y,District,ALL,7,0,3,0,7,14,31,0,NOC
E08000003,Manchester,North West,N,Met,THIRD,0,88,4,0,4,0,96,0,LAB
E07000174,Mansfield,East Midlands,Y,District,ALL,5,25,0,0,0,6,36,0,LAB
E06000035,Medway,South East,Y,Unitary,ALL,22,33,0,0,0,4,59,0,LAB
E07000133,Melton,East Midlands,N,District,ALL,11,5,1,0,1,10,28,0,NOC
E07000042,Mid Devon,South West,Y,District,ALL,5,0,33,0,3,1,42,0,LD
E07000203,Mid Suffolk,East of England,N,District,ALL,6,0,4,0,24,0,34,0,GRN
E07000228,Mid Sussex,South East,Y,District,ALL,18,1,20,0,4,5,48,0,NOC
E06000002,Middlesbrough,North East,N,Unitary,ALL,4,25,2,0,0,15,46,0,LAB
E06000042,Milton Keynes,South East,N,Unitary,THIRD,17,25,15,0,0,0,57,0,NOC
E07000210,Mole Valley,South East,Y,District,ALL,3,0,30,0,0,6,39,0,LD
E07000091,New Forest,South East,Y,District,ALL,26,1,14,0,3,4,48,0,CON
E07000175,Newark and Sherwood,East Midlands,N,District,ALL,14,11,3,0,0,11,39,0,NOC
E08000021,Newcastle upon Tyne,North East,N,Met,THIRD,0,48,23,0,0,7,78,0,LAB
E07000043,North Devon,South West,N,District,ALL,7,0,22,0,3,10,42,0,LD
E07000038,North East Derbyshire,East Midlands,N,District,ALL,19,28,3,0,1,2,53,0,LAB
E06000012,North East Lincolnshire,Yorkshire and The Humber,N,Unitary,THIRD,27,9,3,0,0,3,42,0,CON
E07000099,North Hertfordshire,East of England,N,District,THIRD,15,19,15,0,0,0,49,0,NOC
E07000139,North Kesteven,East Midlands,Y,District,ALL,25,2,0,0,0,16,43,0,CON
E06000013,North Lincolnshire,Yorkshire and The Humber,Y,Unitary,ALL,27,16,0,0,0,0,43,0,CON
E07000147,North Norfolk,East of England,N,District,ALL,12,0,25,0,0,3,40,0,LD
E06000024,North Somerset,South West,N,Unitary,ALL,13,10,9,0,7,11,50,0,NOC
E08000022,North Tyneside,North East,N,Met,THIRD,7,51,0,0,0,2,60,0,LAB
E07000218,North Warwickshire,West Midlands,N,District,ALL,17,15,0,0,0,3,35,0,NOC
E07000134,North West Leicestershire,East Midlands,N,District,ALL,12,17,5,0,0,4,38,0,NOC
E07000148,Norwich,East of England,N,District,THIRD,0,23,3,0,13,0,39,0,LAB
E06000018,Nottingham,East Midlands,N,Unitary,ALL,0,51,0,0,0,4,55,0,LAB
E07000135,Oadby and Wigston,East Midlands,N,District,ALL,7,0,19,0,0,0,26,0,LD
E08000004,Oldham,North West,Y,Met,ALL,11,32,10,0,0,7,60,0,LAB
E07000122,Pendle,North West,N,District,THIRD,14,11,7,0,0,1,33,0,NOC
E06000031,Peterborough,East of England,N,Unitary,THIRD,30,14,8,0,3,5,60,0,NOC
E06000026,Plymouth,South West,N,Unitary,THIRD,18,31,0,0,2,5,57,1,LAB
E06000044,Portsmouth,South East,N,Unitary,THIRD,8,7,18,0,0,9,42,0,NOC
E07000123,Preston,North West,N,District,ALL,10,31,7,0,0,0,48,0,LAB
E06000038,Reading,South East,N,Unitary,THIRD,5,32,3,0,7,1,48,0,LAB
E06000003,Redcar and Cleveland,North East,N,Unitary,ALL,12,23,11,0,0,13,59,0,NOC
E07000236,Redditch,West Midlands,N,District,THIRD,16,13,0,0,0,0,29,0,CON
